id,x,y,z,r,g,b
123,0.21165325,-0.33870438,0.00038364343,0.654902,0.4509804,0.54509807
124,0.077292174,-0.343904,0.13463484,0.654902,0.4509804,0.54509807
125,0.2535062,-0.34052137,0.057261858,0.654902,0.4509804,0.54509807
126,0.48476064,-1.092286,0.101094425,0.5176471,0.45490196,0.54509807
127,0.5167282,-1.019349,0.029865783,0.45882353,0.4627451,0.5372549
128,0.22946863,-0.3486952,0.068973444,0.6,0.44705883,0.54509807
129,0.17108177,-0.34025025,0.106453314,0.654902,0.4509804,0.54509807
130,0.24006368,-0.33216113,0.009924947,0.6,0.44705883,0.54509807
131,0.266531,-0.3439619,0.036360852,0.654902,0.4509804,0.54509807
132,0.22607179,-0.33720994,0.03133078,0.8,0.48235294,0.5137255
133,0.27415073,-0.3375572,0.03820847,0.654902,0.4509804,0.54509807
134,0.1952453,-0.33988652,0.0921562,0.654902,0.4509804,0.54509807
135,0.17376171,-0.32831112,0.095576316,0.6,0.44705883,0.54509807
136,0.14294715,-1.1113689,0.10447219,0.6,0.44705883,0.54509807
137,0.09356828,-0.34837642,0.11920339,0.6627451,0.44705883,0.54509807
138,0.2690204,-0.35055366,0.07674351,0.48235294,0.54509807,0.44705883
139,0.27451095,-0.3385638,0.06387301,0.65882355,0.4862745,0.49019608
140,0.22411285,-0.34681526,0.09327544,0.6392157,0.5019608,0.48235294
141,0.20049646,-0.34169275,0.10086626,0.6,0.44705883,0.54509807
142,0.26513645,-0.3412045,0.008609746,0.6666667,0.53333336,0.4862745
143,0.22996281,-0.33407548,0.012802608,0.6,0.44705883,0.54509807
144,0.21014267,-0.33816668,0.011952138,0.5568628,0.44705883,0.54509807
145,0.09882914,-0.34582156,0.131998,0.654902,0.4509804,0.54509807
146,0.11189647,-0.3332301,0.11444515,0.654902,0.4509804,0.54509807
147,0.08811539,-0.34323928,0.12562932,0.654902,0.4509804,0.54509807
148,0.28450012,-0.33676106,0.045726284,0.5176471,0.5411765,0.4392157
149,0.22988741,-0.3390557,0.07143809,0.654902,0.4509804,0.54509807
150,0.24422811,-0.3369299,0.032464676,0.654902,0.4509804,0.54509807
151,0.20974642,-0.33724713,0.06197208,0.47843137,0.45882353,0.59607846
152,0.222872,-0.34952995,0.03315198,0.7137255,0.5019608,0.48235294
153,0.24766198,-0.33463946,-0.0008058492,0.6745098,0.5254902,0.49019608
154,0.21135826,-0.34131795,0.046183623,0.654902,0.4509804,0.54509807
155,0.19541354,-0.33783975,0.06148741,0.654902,0.4509804,0.54509807
156,0.23782621,-0.33877602,0.0022534747,0.654902,0.4509804,0.54509807
