id,x,y,z
92,0.6685845,0.0507853,-0.17378944
93,0.6757735,0.05283348,-0.18089461
94,0.68302995,0.054729443,-0.1884351
95,0.6896503,0.05857825,-0.19476514
96,0.69774866,0.060274187,-0.20305054
97,0.7062289,0.0620992,-0.21156718
98,0.7150209,0.06419792,-0.22020133
99,0.72406274,0.06656813,-0.22892007
100,0.7332506,0.069118194,-0.23777682
101,0.7424835,0.07301297,-0.246241
102,0.7518631,0.07540672,-0.2554928
103,0.76134783,0.07747703,-0.26507375
104,0.7710245,0.079210036,-0.27500543
105,0.78092414,0.08065536,-0.2852297
106,0.7910157,0.08190989,-0.29567218
107,0.79894394,0.083489135,-0.3038822
108,0.8092612,0.0845161,-0.314563
109,0.81971073,0.085392945,-0.3254631
110,0.83035284,0.08614039,-0.33659708
111,0.8413128,0.08682402,-0.34788826
112,0.85265213,0.08752351,-0.35925785
113,0.8629461,0.089062266,-0.37094966
114,0.8748844,0.089880906,-0.38240838
115,0.8870146,0.090876184,-0.39386994
116,0.89928335,0.092151724,-0.40526852
117,0.9117138,0.093666516,-0.41658697
118,0.92446643,0.095228486,-0.42792362
119,0.93344164,0.09789472,-0.43957224
120,0.94714814,0.09912484,-0.4513877
121,0.9614059,0.1002477,-0.4634855
122,0.97595936,0.1015433,-0.4756529
123,0.9905162,0.103244,-0.48765567
124,1.0048076,0.105391584,-0.49942878
125,1.0141002,0.10752671,-0.51051116
126,1.0275408,0.110157035,-0.5223524
127,1.040843,0.11273923,-0.5343398
128,1.0541757,0.11512726,-0.5464544
129,1.0675974,0.11732512,-0.55867773
130,1.0810938,0.11940392,-0.57092315
131,1.0893813,0.12203886,-0.57981026
132,1.1025681,0.12431326,-0.5917371
133,1.1156064,0.1266698,-0.6035408
134,1.1285629,0.12894267,-0.6153852
135,1.1414975,0.1310238,-0.6273952
136,1.1544621,0.13291484,-0.63952154
137,1.1630297,0.13779008,-0.64898473
138,1.1759881,0.13941258,-0.66110057
139,1.1890135,0.14078395,-0.67332155
140,1.2021261,0.14185965,-0.6856915
141,1.215359,0.14263795,-0.6982342
142,1.2287604,0.14314635,-0.710927
143,1.2378856,0.14644097,-0.7200865
144,1.2514918,0.14667884,-0.7329305
145,1.2650684,0.14689097,-0.7458727
146,1.2785082,0.14709924,-0.75894344
147,1.2918104,0.14727387,-0.77221584
148,1.3024969,0.14827764,-0.78371936
149,1.3157307,0.1483084,-0.7974245
150,1.3290443,0.14821142,-0.81143963
151,1.3424438,0.14790383,-0.8257821
152,1.3558922,0.14732671,-0.8404227
153,1.3693435,0.14674601,-0.8552855
154,1.3826225,0.14660498,-0.870043
155,1.3932117,0.14865535,-0.8818948
156,1.405714,0.14948863,-0.89583826
157,1.417891,0.1503336,-0.9097298
158,1.4298913,0.15092242,-0.9238898
159,1.4417942,0.1511974,-0.9384056
160,1.4518764,0.15173522,-0.9504802
161,1.4635998,0.15175727,-0.965053
162,1.4752195,0.15179586,-0.97942513
163,1.4866924,0.15185454,-0.99354357
164,1.497989,0.15183502,-1.0074891
165,1.5091031,0.15161589,-1.0214071
166,1.5191832,0.15250796,-1.0338745
167,1.5301445,0.15162608,-1.0478976
168,1.5410497,0.15048182,-1.061927
169,1.5518167,0.14920366,-1.0758883
170,1.5623884,0.14788312,-1.0897211
171,1.5727965,0.14652923,-1.1033984
172,1.5831591,0.1450612,-1.116953
173,1.594144,0.14501858,-1.1305196
174,1.6047927,0.14311889,-1.1439483
175,1.6156343,0.14101407,-1.1572483
176,1.6266755,0.13876814,-1.1703519
177,1.6378652,0.13648961,-1.1832113
178,1.6509662,0.13545331,-1.1979305
179,1.6625472,0.13302201,-1.2104924
180,1.674445,0.13036186,-1.2229832
181,1.6866902,0.12768587,-1.2353253
182,1.6991252,0.12536016,-1.2473053
183,1.7114978,0.1236661,-1.2588363
184,1.7243327,0.12259825,-1.2714224
185,1.7363517,0.12198647,-1.2825978
186,1.7483519,0.12163704,-1.293859
187,1.7604274,0.12147894,-1.3051871
188,1.772647,0.12153288,-1.3164134
189,1.7850566,0.121841155,-1.3273776
190,1.797702,0.1223978,-1.3379862
191,1.8103623,0.12278872,-1.3493375
192,1.8233236,0.1236613,-1.3593066
193,1.8363681,0.12447994,-1.3691844
194,1.8495249,0.12504801,-1.379166
195,1.8628582,0.12527218,-1.3892934
196,1.8754752,0.12509266,-1.4003563
197,1.8892012,0.12473544,-1.4105806
198,1.9031696,0.12415748,-1.4207554
199,1.9173636,0.12339052,-1.430872
200,1.9317709,0.122421674,-1.440987
201,1.9464214,0.12119716,-1.4511496
202,1.9610214,0.120642535,-1.4626664
203,1.976011,0.119157515,-1.4729564
204,1.9911257,0.117658325,-1.4832693
205,2.0063825,0.116167925,-1.4935646
206,2.0218077,0.11469551,-1.5038537
207,2.0373898,0.113277964,-1.5141376
208,2.05313,0.11193069,-1.5244259
209,2.0665884,0.11256374,-1.5342726
210,2.0826952,0.110906355,-1.5447375
211,2.0991347,0.10912805,-1.555178
212,2.1157238,0.107711904,-1.5651971
213,2.132092,0.106948815,-1.574552
214,2.1460803,0.10645916,-1.5823712
215,2.1615872,0.10648852,-1.5910505
216,2.1768765,0.106508695,-1.5998113
