id,x,y,z,r,g,b
45,0.12204743,-0.050887715,-0.3777586,0.54509807,0.39607844,0.60784316
46,0.19433047,-0.031205641,-0.35226437,0.4745098,0.45490196,0.5647059
47,0.15978079,-0.047799107,-0.28883043,0.5294118,0.39215687,0.6156863
48,0.17736246,-0.031565476,-0.337481,0.45490196,0.39607844,0.61960787
49,0.33097407,-0.035243485,-0.2398387,0.54901963,0.41568628,0.6039216
50,0.33020982,0.042446036,-0.26761672,0.76862746,0.35686275,0.627451
51,0.4551701,-0.053433534,-0.17408346,0.12941177,0.48235294,0.5372549
52,0.24746315,-0.053896543,-0.52088153,0.76862746,0.4,0.61960787
53,0.41147143,-0.05332696,-0.44433114,0.76862746,0.35686275,0.627451
54,0.5688842,-0.04880352,-0.30472454,0.43137255,0.5058824,0.49803922
55,0.4408818,-0.03529733,-0.3221926,0.5137255,0.42352942,0.5882353
56,0.16981126,-0.048833396,-0.24521793,0.57254905,0.41568628,0.6117647
57,0.20663242,-0.054124366,-0.37081772,0.42352942,0.38039216,0.654902
58,0.2919576,0.0014556946,-0.23492466,0.2509804,0.4509804,0.56078434
59,0.47621846,-0.0521388,-0.29998174,0.4745098,0.47058824,0.5529412
60,0.7543848,-0.9001452,-0.50365204,0.4627451,0.3764706,0.62352943
61,0.4040599,-0.028863871,-0.1726756,0.5686275,0.5058824,0.5019608
62,0.38106376,0.026959104,-0.44526815,0.32156864,0.40784314,0.60784316
63,0.35941935,-0.05254626,-0.55599314,0.64705884,0.34509805,0.6431373
64,0.66702,-0.9271882,-0.5707512,0.4627451,0.3764706,0.62352943
65,0.11701583,-0.056739,-0.5455273,0.7137255,0.37254903,0.6313726
66,0.44181365,-0.023544135,-0.17030416,0.34901962,0.41960785,0.60784316
67,0.40389132,0.0027839544,-0.30239782,0.07450981,0.49803922,0.5058824
68,0.2579514,-0.06701589,-0.51779157,0.73333335,0.35686275,0.6431373
69,0.39763552,-0.035619777,-0.5296004,0.45490196,0.45882353,0.3882353
70,0.37896633,-0.051129024,-0.5615525,0.06666667,0.49803922,0.5019608
71,0.06177563,-0.06405045,-0.68984383,0.7647059,0.38039216,0.627451
72,0.44765538,-0.022866042,-0.35423744,0.29803923,0.44705883,0.5764706
73,0.59872633,-0.8948677,-0.49888524,0.22745098,0.46666667,0.54901963
74,0.415994,-0.028271513,-0.5352481,0.4862745,0.46666667,0.35686275
75,0.40989852,-0.039279085,-0.54975843,0.06666667,0.49803922,0.5019608
76,0.4271868,-0.03140014,-0.53442204,0.87058824,0.45882353,0.50980395
77,0.4279095,-0.040240195,-0.53888935,0.5686275,0.46666667,0.39607844
78,0.38720894,-0.046706196,-0.59501797,0.47843137,0.47058824,0.34901962
79,0.41169822,-0.04832491,-0.61072636,0.06666667,0.49803922,0.5019608
80,0.20407553,-0.046088558,-0.39207056,0.43137255,0.5058824,0.49803922
81,0.08423815,-0.061647665,-0.71309996,0.78431374,0.37254903,0.627451
82,0.6587607,-0.79605794,-0.5108097,0.33333334,0.48235294,0.5137255
83,0.39884818,-0.042554017,-0.58567226,0.43137255,0.5058824,0.49803922
84,0.029459165,-0.06253412,-0.72578746,0.07450981,0.49803922,0.5058824
85,0.1298771,-0.041557845,-0.5595685,0.75686276,0.39215687,0.6156863
86,0.08237099,-0.063369304,-0.7018934,0.7882353,0.37254903,0.62352943
87,0.08205735,-0.06005132,-0.7369723,0.7764706,0.37254903,0.6313726
88,0.39624906,-0.05056868,-0.43243614,0.21176471,0.47058824,0.5647059
89,0.42175347,-0.033641193,-0.5424773,0.43137255,0.5058824,0.49803922
90,0.45427668,0.063393645,-0.5017917,0.43137255,0.5058824,0.49803922
91,0.34252596,-0.051926654,-0.55043167,0.43137255,0.5058824,0.49803922
92,0.43290895,-0.034890223,-0.5572923,0.43137255,0.5058824,0.49803922
93,0.37876326,-0.030051442,-0.352754,0.13333334,0.48235294,0.5294118
94,0.3247434,-0.064265415,-0.5360317,0.43137255,0.5058824,0.49803922
95,0.4281866,-0.04725952,-0.5962408,0.5137255,0.45882353,0.23137255
96,0.41020894,0.05487485,-0.40910673,0.06666667,0.49803922,0.5019608
97,0.08436743,-0.06644447,-0.6145985,0.43137255,0.5058824,0.49803922
98,0.5855194,-0.84624285,-0.3701289,0.15294118,0.49019608,0.5137255
99,0.5053434,-0.7990782,-0.4264013,0.19215687,0.49019608,0.5137255
100,0.40639484,-0.06020498,-0.3384866,0.34117648,0.4117647,0.6117647
101,0.3958891,-0.043560203,-0.5675283,0.5529412,0.4745098,0.42745098
102,0.33446994,-0.05079898,-0.09556977,0.43137255,0.5058824,0.49803922
103,0.12269098,-0.029072652,-0.46725485,0.54901963,0.36078432,0.654902
104,0.3457577,-0.046228852,-0.5686016,0.7254902,0.3254902,0.6627451
105,0.39630735,-0.049423914,-0.6092691,0.43137255,0.5058824,0.49803922
106,0.25495678,-0.03980201,-0.524645,0.92941177,0.42745098,0.54901963
107,0.45608735,-0.025619233,-0.37875292,0.7254902,0.3254902,0.6627451
108,0.2221625,-0.05564357,-0.16785945,0.5686275,0.5058824,0.5019608
109,0.20520706,-0.061924364,-0.29945675,0.3019608,0.41568628,0.6039216
110,0.30772275,0.025078328,-0.2524771,0.43137255,0.5058824,0.49803922
111,0.24465258,-0.042052012,-0.5170219,0.5686275,0.5058824,0.5019608
112,0.1989653,-0.118782744,-0.7514463,0.7254902,0.3254902,0.6627451
113,0.36748645,-0.04871766,-0.59630406,0.43137255,0.5058824,0.49803922
114,0.21476205,-0.06360856,-0.7441376,0.70980394,0.35686275,0.6392157
115,0.21130382,-0.05435134,-0.56321776,0.5686275,0.5058824,0.5019608
116,0.20480148,-0.036421966,-0.29551455,0.40392157,0.4509804,0.5647059
117,0.18715505,-0.033818144,-0.30658543,0.5647059,0.42352942,0.58431375
118,0.2579688,-0.07134612,-0.5178202,0.3019608,0.49019608,0.5137255
119,0.010875643,-0.047265377,-0.659514,0.6784314,0.36078432,0.6313726
120,-0.015446045,-0.063772574,-0.6675437,0.4627451,0.47058824,0.5372549
121,0.049518514,-0.058491763,-0.65015614,0.43529412,0.47843137,0.53333336
122,0.07014356,-0.08471389,-0.56498444,0.43529412,0.47843137,0.53333336
123,0.107744046,-0.058481272,-0.71599865,0.43529412,0.47843137,0.53333336
124,0.040193085,-0.065900326,-0.7058782,0.7411765,0.3764706,0.627451
125,0.162335,-0.06251374,-0.28287596,0.8117647,0.48235294,0.5294118
126,-0.07669569,-0.051700767,-0.4475669,0.46666667,0.49019608,0.53333336
127,-0.060797032,-0.037557613,-0.31172255,0.46666667,0.49019608,0.53333336
128,-0.06119446,-0.054420974,-0.37509033,0.46666667,0.49019608,0.53333336
129,-0.05421171,-0.052074354,-0.45110288,0.46666667,0.49019608,0.53333336
130,0.00886947,-0.07191996,-0.62561023,0.46666667,0.49019608,0.53333336
131,0.045783106,-0.06659801,-0.7379013,0.43529412,0.47843137,0.53333336
132,-0.013149166,-0.059529018,-0.46807438,0.46666667,0.49019608,0.53333336
133,-0.10001107,-0.016211266,-0.29198194,0.46666667,0.49019608,0.53333336
134,0.20720027,-0.04205134,-0.2804328,0.46666667,0.49019608,0.53333336
135,0.23512854,-0.06143048,-0.48291013,0.5686275,0.5058824,0.5019608
136,0.59922284,-0.8630655,-0.40775338,0.20392157,0.4862745,0.5176471
137,-0.014618539,-0.049778517,-0.42825368,0.46666667,0.49019608,0.53333336
138,0.11445107,-0.062322553,-0.646975,0.43529412,0.47843137,0.53333336
139,-0.080484234,-0.958901,-0.4338549,0.27058825,0.4862745,0.52156866
140,-0.015601614,-0.06742391,-0.6780999,0.4627451,0.47058824,0.5372549
141,0.3343455,-0.025038632,-0.09348253,0.43137255,0.5058824,0.49803922
142,0.28390455,-0.075603664,0.08558751,0.8117647,0.48235294,0.5294118
143,0.44180477,-0.06786488,-0.17366795,0.43137255,0.5058824,0.49803922
144,0.12179177,-0.023859778,0.21826114,0.8117647,0.48235294,0.5294118
145,0.33171797,-0.041712876,-0.22384922,0.8117647,0.48235294,0.5294118
146,0.46960002,-0.9950064,-0.32843342,0.35686275,0.47843137,0.5294118
147,0.18878229,-0.052515667,-0.34115997,0.8117647,0.48235294,0.5294118
148,0.25411123,-0.049157035,-0.49324608,0.8117647,0.48235294,0.5294118
149,0.38055104,-0.93550223,-0.53515464,0.57254905,0.47843137,0.5176471
150,0.35269123,-0.94578916,-0.6284909,0.65882355,0.4392157,0.56078434
151,0.44248158,-0.9171975,-0.41281882,0.29803923,0.47843137,0.52156866
152,0.60062474,-0.8968045,-0.3497793,0.34901962,0.47058824,0.5372549
153,0.22466959,-0.06373353,-0.7436944,0.61960787,0.46666667,0.5411765
154,0.37192768,-0.8965617,-0.5474873,0.4862745,0.45882353,0.5647059
155,0.5996627,-0.9055498,-0.61700606,0.47843137,0.44313726,0.5568628
156,0.35276714,-0.9362164,-0.6654139,0.6431373,0.45490196,0.5568628
157,0.38022166,-0.91155475,-0.7333975,0.7137255,0.44313726,0.5647059
158,-0.006922536,-0.9258546,-0.2526353,0.45490196,0.47843137,0.5372549
159,-0.02741352,-0.89053375,-0.5279314,0.5372549,0.45882353,0.5411765
160,0.44800532,-0.8419328,-0.023599507,0.48235294,0.45882353,0.54901963
161,0.4753136,-0.9116679,-0.69790155,0.9254902,0.48235294,0.52156866
162,0.6360392,-0.7811341,-0.5243945,0.7254902,0.4509804,0.54509807
163,0.57351416,-0.94077843,-0.62482923,0.6039216,0.47843137,0.5294118
164,0.56361943,-0.77110106,-0.34999672,0.14901961,0.4862745,0.5254902
165,0.6191836,-0.8410905,-0.47357967,0.1764706,0.49019608,0.52156866
166,0.4102468,-0.91283137,-0.40996602,0.47058824,0.4509804,0.5568628
167,0.37400156,-0.8885475,-0.7449386,0.7019608,0.4392157,0.5686275
168,0.55034775,-0.9093204,-0.6477464,0.5176471,0.45882353,0.5529412
169,0.5695959,-0.93979186,-0.79433626,0.5882353,0.43529412,0.56078434
170,0.866113,-0.91517836,-0.53799057,0.5294118,0.45490196,0.5411765
171,0.6526212,-0.93513376,-0.7727364,0.6745098,0.42745098,0.57254905
172,0.417332,-0.90272176,-0.6455063,0.61960787,0.45490196,0.5647059
173,0.37833166,-0.91149586,-0.7992456,0.70980394,0.43529412,0.5647059
174,0.3952161,-0.91166526,-0.8689209,0.7058824,0.42745098,0.5764706
175,0.4775564,-0.8872788,-0.85118586,0.5882353,0.4392157,0.5647059
176,0.5315569,-0.9284356,-0.80279756,0.5803922,0.45490196,0.5568628
177,0.59284216,-0.9138312,-0.78403956,0.73333335,0.43137255,0.5686275
178,0.6172059,-0.92467934,-0.7977585,0.54901963,0.44313726,0.56078434
179,0.55835,-0.9017857,-0.85843617,0.7607843,0.44313726,0.5647059
